id,content
63,"In respect of risks not falling under article 1, 2 or 3, the following terrorism exclusion clause shall apply: Terrorism Exclusion Endorsement (Reinsurance) ~ NMA2921 Notwithstanding any provision to the contrary within this reinsurance or any endorsement thereto it is agreed that this reinsurance excludes loss, damage, cost or expense of whatsoever nature directly or indirectly caused by, resulting from or in connection with any act of terrorism regardless of any other cause or event contributing concurrently or in any other sequence to the loss."
64,"For the purpose of this endorsement an act of terrorism means an act, including but not limited to the use of force or violence and/or the threat thereof, of any person or group(s) of persons, whether acting alone or on behalf of or in connection with any organisation(s) or government(s), committed for political, religious, ideological or similar purposes including the intention to influence any government and/or to put the public, or any section of the public, in fear."
65,"This exclusion does not apply to: Motor Physical Damage, including Caravans; The following Engineering Lines: Construction All Risks, Erection All Risks, Landmaterial risks (hull cover only) g) Total Asbestos Exclusion It is hereby understood and agreed that this Contract shall not apply to and does not cover any actual or alleged liability whatsoever for any claim or claims in respect of loss or losses, directly or indirectly arising out of, resulting from, or in consequence of or in any way involving asbestos or any materials containing asbestos in whatever form or quantity, provided that the loss or losses are caused by the hazardous nature of asbestos."
66,"Notwithstanding any provision to the contrary within this Contract or any endorsement thereto, it is understood and agreed as follows: i) This Contract shall not cover any loss or damage due to contamination, pollution, soot, deposition, impairment with dust, chemical precipitation, adulteration, poisoning, impurity, epidemic and disease or due to any limitation or prevention of the use of objects because of hazards to health."
67,"ii) This exclusion does not apply if such loss or damage arises as a direct consequence of the perils of Fire, lightning, explosion, impact of aircraft Vehicle impact, sonic boom Accidental escape of water from any tank apparatus or pipe Riot, civil commotion, malicious damage Storm, hail Flood, inundation Earthquake Landslide, subsidence Snow pressure, avalanche Page 19 X **--- PAGE BREAK ---** Contract X Volcanic eruption or physical damage of the type insured by the original policy which occurred on the insured premises."
68,iii) If a peril not excluded from the original policy arises directly from pollution and / or contamination any loss or damage arising directly from that peril shall be covered iv) All other terms and conditions of the reinsurance contract shall be unaltered and especially the exclusions shall not be superseded by this clause.
69,"Notwithstanding any provision to the contrary within this reinsurance agreement, this reinsurance agreement excludes any loss, damage, liability, claim, cost or expense of whatsoever nature, directly or indirectly caused by, contributed to by, resulting from, arising out of, or in connection with a Communicable Disease or the fear or threat (whether actual or perceived) of a Communicable Disease regardless of any other cause or event contributing concurrently or in any other sequence thereto."
70,"Subject to the other terms, conditions and exclusions contained in this reinsurance agreement, this reinsurance agreement will cover physical damage to property insured under the original policies and any Time Element Loss directly resulting therefrom where such physical damage is directly caused by or arising from any of the following perils: mechanical or electrical breakdown, fire, lightning, explosion, aircraft or vehicle impact, power failure or surge, falling objects, windstorm, rainstorm, hail, tornado, cyclone, typhoon, hurricane, earthquake, seaquake, seismic and/or volcanic disturbance/eruption, tsunami, flood, storm surge, water damage, liquefaction, freeze, ice storm, sleet, weight of snow or ice, avalanche, smoke, sprinkler leakage, meteor/asteroid impact, landslip, landslide, mudslide, sinkhole, collapse, bush fire, forest fire, riot, riot attending a strike, looting, civil commotion, vandalism and malicious mischief."
71,"1 ~ LMA5410 Page 20 X **--- PAGE BREAK ---** Contract X 1 Notwithstanding any provision to the contrary within this reinsurance agreement or any endorsement thereto, this reinsurance agreement excludes all loss, damage, liability, cost or expense of whatsoever nature directly or indirectly caused by, contributed to by, resulting from, arising out of or in connection with: 1.1 any loss of, alteration of, or damage to or a reduction in the functionality, availability or operation of a Computer System, unless subject to the provisions of paragraph 2; 1.2 any loss of use, reduction in functionality, repair, replacement, restoration or reproduction of any Data, including any amount pertaining to the value of such Data."
72,"2 Subject to the other terms, conditions and exclusions contained in this reinsurance agreement, this reinsurance agreement will cover physical damage to property insured under the original policies and any Time Element Loss directly resulting therefrom where such physical damage is directly occasioned by any of the following perils: fire, lightning, explosion, aircraft or vehicle impact, falling objects, windstorm, hail, tornado, cyclone, hurricane, earthquake, volcano, tsunami, flood, freeze or weight of snow Definitions | 3 | Computer System means any computer, hardware, software, communications system, electronic device (including, but not limited to, smart phone, laptop, tablet, wearable device), server, cloud or microcontroller including any similar system or any configuration of the aforementioned and including any associated input, output, data storage device, networking equipment or back up facility."
73,"Memorandum of Understanding - Condition 1 - Definition of ""Loss Occurrence"" The following memorandum of understanding regarding the Definition of ""Loss Occurrence"" is noted and agreed between Reinsured and Reinsurer: First paragraph: As regards the following text: ""Such cause is understood to be the peril which directly occasioned the losses."
74,"Where there are several perils which, in an unbroken chain of causation, have occasioned the losses, such cause is understood to be the peril which triggered the chain of causation."" It is noted and agreed that the intention of the clause is that it refers to those losses whereby the direct cause of the loss originates from the insured event."
75,"Page 22 X **--- PAGE BREAK ---** Contract X Second paragraph, point (a): It is noted and agreed between Reinsured and Reinsurer, that the second paragraph under (a) 'where a storm is named refers to a named storms coverage for European windstorms according to the following clarification: Unities Test one event arising out of and directly Defined Time occasioned by Defined Space (geo.) Same Cause All individual losses Loss Occurrence With regards to the peril of European windstorms, one event as referred to in the ""Loss Occurrence"" definition means one single named storm."
76,"Examples: | | Dec 1999: | Lothar/Martin: Two distinct windstorms | | --- | --------- | ------------------------------------------------- | | | Feb 2022: | Dudley/Eunice/Franklin: Three distinct windstorms | ""Named"" in that context means that a name was assigned to the storm by an official meteorological agency such as KNMI, Free University of Berlin, DWD, UK Met Office, etc.."
77,Page 23 X **--- PAGE BREAK ---** Contract X Security Details | Reinsurer's Liability | Reinsurer's Liability Clause ~ LMA3333 (Reinsurer's Liability Several Not Joint) | | ---------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | | | The liability of a Reinsurer under this Contract is several and not joint with other Reinsurers party to this Contract.
